,date,tavg,tmin,tmax,prcp,pres
1401,20151102,59.4,43.0,72.0,0.0,1014.9
1402,20151103,56.7,45.0,70.0,0.0,1019.1
1406,20151107,43.5,37.0,52.0,0.0,1026.2
1407,20151108,39.4,28.0,52.0,0.0,1029.7
1408,20151109,41.2,28.9,55.0,0.0,1024.6
1409,20151110,43.0,33.1,55.9,0.0,1019.0
1412,20151113,39.7,34.0,46.0,0.0,1017.6
1413,20151114,41.9,23.0,55.9,0.0,1024.2
1414,20151115,53.1,44.1,64.0,0.0,1023.0
1421,20151122,20.1,12.0,26.1,0.0,1022.0
1422,20151123,31.1,25.0,39.0,0.0,1018.0
1428,20151129,33.4,25.0,41.0,0.0,1028.5
1432,20151203,33.8,30.9,35.1,0.0,1025.8
1434,20151205,36.0,30.9,46.0,0.0,1035.7
1437,20151208,42.3,39.0,46.9,0.0,1012.8
1438,20151209,46.0,41.0,52.0,0.0,1006.5
1439,20151210,48.9,39.9,57.0,0.0,1002.0
1451,20151222,38.1,35.1,39.9,0.012,1010.2
1453,20151224,39.0,35.1,41.0,0.0,1011.8
1454,20151225,36.7,32.0,43.0,0.0,1025.4
1462,20160102,27.7,21.0,33.1,0.0,1018.1
1465,20160105,26.1,19.0,33.1,0.0,1032.8
1466,20160106,30.9,24.1,36.0,0.0,1025.6
1474,20160114,34.9,25.0,43.0,0.0,1004.9
1476,20160116,24.8,10.9,30.0,0.0,1011.5
1477,20160117,3.0,0.0,8.1,0.0,1020.2
1478,20160118,1.4,-4.0,7.0,0.0,1027.3
1479,20160119,9.1,0.0,17.1,0.0,1032.5
1481,20160121,20.5,12.9,28.9,0.0,1028.3
1483,20160123,27.7,25.0,32.0,0.0,1022.8
1484,20160124,27.0,24.1,32.0,0.0,1015.8
1485,20160125,32.9,23.0,39.9,0.075,1009.1
1487,20160127,29.1,24.1,33.1,0.0,1020.2
1488,20160128,33.6,28.9,39.9,0.0,1006.5
1489,20160129,28.6,19.0,35.1,0.0,1013.2
1490,20160130,39.7,35.1,46.0,0.0,1005.0
1492,20160201,35.2,28.9,46.0,0.0,1016.7
1494,20160203,34.3,28.9,37.0,0.0,1005.6
1495,20160204,26.4,19.9,30.9,0.0,1023.4
1497,20160206,31.6,25.0,41.0,0.0,1023.8
1498,20160207,38.5,32.0,43.0,0.0,1010.1
1501,20160210,12.4,9.0,17.1,0.0,1018.7
1502,20160211,13.8,6.1,21.0,0.0,1026.5
1504,20160213,8.6,1.9,16.0,0.0,1035.7
1509,20160218,32.7,21.9,41.0,0.0,1024.8
1512,20160221,36.7,32.0,39.9,0.0,1020.6
1513,20160222,34.0,25.0,42.1,0.0,1022.3
1514,20160223,34.2,25.0,43.0,0.0,1019.7
1517,20160226,30.7,26.1,33.1,0.0,1023.4
1518,20160227,41.5,28.9,54.0,0.0,1013.5
1522,20160302,22.8,12.0,32.0,0.0,1021.5
1526,20160306,41.9,34.0,51.1,0.0,1020.2
1527,20160307,54.3,45.0,63.0,0.0,1011.8
1528,20160308,63.7,59.0,70.0,0.0,1011.3
1530,20160310,44.6,39.0,50.0,0.0,1019.8
1531,20160311,39.7,33.1,50.0,0.0,1027.7
1537,20160317,48.0,41.0,54.0,0.0,1010.5
1538,20160318,38.8,33.1,46.0,0.0,1018.5
1539,20160319,36.9,33.1,41.0,0.0,1022.3
1540,20160320,35.8,28.0,41.0,0.0,1022.7
1541,20160321,37.8,28.9,48.0,0.0,1020.4
1542,20160322,49.3,37.9,61.0,0.0,1008.3
1543,20160323,38.3,36.0,39.9,0.138,1011.2
1545,20160325,34.7,28.9,44.1,0.0,1018.1
1546,20160326,41.0,30.0,51.1,0.0,1021.1
1549,20160329,44.1,28.9,57.0,0.0,1025.2
1563,20160412,37.6,30.0,44.1,0.0,1027.3
1564,20160413,42.3,33.1,51.1,0.0,1027.1
1565,20160414,46.0,34.0,57.0,0.0,1025.1
1566,20160415,51.3,42.1,62.1,0.0,1024.0
1567,20160416,55.2,39.9,69.1,0.0,1026.1
1568,20160417,60.3,43.0,77.0,0.0,1028.3
1569,20160418,64.0,46.9,81.0,0.0,1025.3
1574,20160423,46.9,37.9,55.9,0.0,1021.5
1575,20160424,58.1,41.0,75.0,0.0,1014.3
1584,20160503,54.9,37.9,66.0,0.0,1012.4
1587,20160506,63.0,39.9,82.9,0.0,1012.6
1589,20160508,55.2,39.9,69.1,0.0,1013.6
1594,20160513,56.3,48.0,66.0,0.567,1014.2
1595,20160514,44.1,41.0,46.9,0.102,1015.3
1596,20160515,45.7,35.1,55.0,0.0,1020.0
1597,20160516,58.1,45.0,70.0,0.0,1019.4
1599,20160518,50.5,39.9,61.0,0.0,1024.1
1600,20160519,54.7,39.0,66.9,0.0,1023.1
1601,20160520,56.5,45.0,66.0,0.0,1021.4
1602,20160521,62.1,52.0,73.0,0.0,1019.6
1603,20160522,63.0,48.9,75.0,0.0,1018.2
1604,20160523,65.8,48.0,80.1,0.0,1015.6
1605,20160524,73.8,57.9,87.1,0.0,1014.3
1611,20160530,73.6,62.1,82.9,0.0,1015.6
1614,20160602,68.7,55.9,78.1,0.0,1016.2
1615,20160603,69.8,55.9,82.0,0.0,1017.1
1618,20160606,69.8,57.0,80.1,0.0,1004.7
1619,20160607,59.9,55.0,64.0,0.0,1010.7
1620,20160608,58.3,52.0,64.0,0.0,1015.8
1624,20160612,65.1,60.1,80.1,0.0,1020.4
1625,20160613,67.8,55.9,82.9,0.0,1015.9
1626,20160614,73.4,62.1,84.0,0.0,1010.9
1627,20160615,79.3,69.1,89.1,0.803,1006.6
1628,20160616,68.9,64.0,80.1,0.0,1010.4
1629,20160617,70.5,59.0,81.0,0.0,1018.0
1630,20160618,73.2,57.9,84.0,0.0,1022.8
1631,20160619,77.7,61.0,89.1,0.0,1021.9
1632,20160620,82.9,73.0,91.9,0.012,1016.7
1633,20160621,73.9,63.0,82.0,0.0,1015.0
1634,20160622,70.7,66.0,75.0,1.594,1011.7
1637,20160625,78.3,64.0,89.1,0.0,1017.3
1639,20160627,77.9,70.0,88.0,0.0,1016.5
1640,20160628,64.6,57.9,69.1,0.0,1020.8
1641,20160629,66.6,55.0,77.0,0.0,1019.8
1644,20160702,64.9,55.0,73.9,0.0,1021.2
1645,20160703,66.6,55.0,75.0,0.0,1018.2
1647,20160705,77.5,68.0,86.0,0.0,1011.3
1650,20160708,77.0,66.9,86.0,0.0,1009.7
1651,20160709,70.9,64.9,75.0,0.0,1016.0
1652,20160710,72.1,61.0,80.1,0.0,1017.3
1653,20160711,81.0,71.1,91.0,0.0,1013.6
1655,20160713,77.9,69.1,86.0,0.031,1010.8
1656,20160714,77.5,68.0,88.0,0.0,1010.8
1657,20160715,67.6,62.1,73.9,0.024,1015.8
1658,20160716,68.0,59.0,75.9,0.0,1020.0
1660,20160718,78.6,71.1,87.1,0.0,1019.7
1661,20160719,77.2,66.0,86.0,0.0,1022.9
1662,20160720,79.7,69.1,89.1,0.0,1021.3
1664,20160722,80.4,71.1,90.0,0.063,1015.2
1667,20160725,79.3,72.0,87.1,0.0,1015.0
1668,20160726,77.7,69.1,84.9,0.0,1016.9
1674,20160801,73.6,66.0,81.0,0.0,1018.4
1675,20160802,76.3,66.0,84.9,0.0,1018.3
1676,20160803,79.9,70.0,89.1,0.0,1017.1
1677,20160804,81.9,70.0,91.0,0.0,1014.0
1679,20160806,73.4,64.9,82.0,0.0,1015.1
1680,20160807,72.7,63.0,81.0,0.0,1017.3
1681,20160808,76.5,71.1,82.0,0.0,1017.3
1682,20160809,78.3,69.1,88.0,0.0,1015.8
1683,20160810,80.1,70.0,89.1,0.0,1017.6
1684,20160811,81.9,72.0,93.0,0.0,1013.7
1686,20160813,77.7,73.0,84.0,0.063,1009.3
1687,20160814,76.6,66.9,87.1,0.0,1016.3
1691,20160818,77.9,70.0,87.1,1.65,1016.0
1694,20160821,66.6,60.1,75.0,0.0,1012.6
1695,20160822,68.0,55.0,78.1,0.0,1020.9
1696,20160823,72.3,61.0,81.0,0.0,1021.3
1699,20160826,71.1,64.0,78.1,0.0,1020.4
1704,20160831,71.1,63.0,75.0,0.0,1018.2
1706,20160902,66.9,60.1,72.0,0.0,1024.4
1707,20160903,65.8,57.0,73.9,0.0,1023.0
1708,20160904,68.9,59.0,79.0,0.0,1021.5
1709,20160905,75.9,63.0,88.0,0.0,1018.5
1710,20160906,83.8,75.9,91.9,0.0,1016.6
1715,20160911,64.6,53.1,75.0,0.0,1021.2
1716,20160912,67.6,55.0,79.0,0.0,1018.8
1718,20160914,67.3,62.1,72.0,0.13,1023.4
1719,20160915,67.1,57.9,75.0,0.0,1022.8
1720,20160916,73.9,64.9,82.9,0.0,1014.9
1721,20160917,73.0,66.0,82.0,0.043,1012.6
1722,20160918,68.5,59.0,81.0,0.0,1014.9
1723,20160919,72.7,57.9,87.1,0.0,1016.0
1724,20160920,71.4,64.0,81.0,0.0,1020.7
1729,20160925,72.0,63.0,84.9,0.24,1016.4
1731,20160927,59.9,53.1,69.1,0.0,1009.3
1738,20161004,64.9,57.9,72.0,0.0,1017.4
1739,20161005,67.6,57.9,80.1,0.0,1014.4
1742,20161008,51.8,41.0,63.0,0.0,1024.9
1743,20161009,54.1,46.0,62.1,0.0,1027.4
1744,20161010,56.5,44.1,70.0,0.0,1026.6
1747,20161013,46.9,39.0,55.9,0.0,1025.9
1748,20161014,50.9,37.0,64.9,0.0,1023.8
1749,20161015,61.5,54.0,70.0,0.0,1015.7
1751,20161017,73.8,66.9,82.0,0.0,1002.8
1752,20161018,69.4,53.1,75.9,0.0,1004.9
1754,20161020,51.8,46.9,55.9,0.0,1020.9
1755,20161021,45.7,39.9,52.0,0.0,1021.9
1756,20161022,47.5,37.0,60.1,0.0,1018.6
1757,20161023,55.8,39.9,73.0,0.0,1014.5
1758,20161024,48.7,41.0,55.0,0.0,1027.5
1761,20161027,46.6,43.0,50.0,0.0,1022.4
1762,20161028,52.3,37.9,64.0,0.0,1020.1
1763,20161029,63.9,55.9,69.1,0.0,1013.4
1765,20161031,48.9,37.9,59.0,0.0,1018.8
1766,20161101,66.7,60.1,75.0,0.0,1012.4
1769,20161104,51.1,43.0,62.1,0.0,1029.7
1770,20161105,54.0,43.0,68.0,0.0,1027.1
1771,20161106,53.8,42.1,69.1,0.0,1027.3
1772,20161107,52.0,41.0,64.9,0.0,1026.0
1775,20161110,52.7,41.0,64.0,0.0,1017.8
1777,20161112,41.5,30.0,52.0,0.0,1029.6
1778,20161113,46.4,36.0,55.9,0.0,1020.4
1779,20161114,48.6,41.0,59.0,0.0,1013.2
1781,20161116,45.9,36.0,57.0,0.0,1013.8
1782,20161117,59.4,43.0,71.1,0.0,1009.3
1785,20161120,27.5,23.0,33.1,0.0,1027.7
1786,20161121,29.7,21.9,39.9,0.0,1027.2
1789,20161124,38.7,35.1,43.0,0.0,1021.6
1791,20161126,39.4,33.1,45.0,0.0,1025.6
1792,20161127,38.7,34.0,44.1,0.02,1015.7
1797,20161202,36.5,34.0,37.9,0.0,1022.3
1798,20161203,32.0,28.9,34.0,0.0,1027.8
1800,20161205,32.7,32.0,33.1,0.0,1016.5
1802,20161207,25.0,21.9,28.0,0.0,1019.4
1807,20161212,21.4,12.9,32.0,0.0,1017.2
1808,20161213,13.6,3.9,21.0,0.0,1023.1
1809,20161214,10.4,3.9,19.9,0.0,1023.4
1810,20161215,4.5,-0.9,10.0,0.0,1030.6
1814,20161219,4.8,-8.0,15.1,0.0,1038.9
1815,20161220,23.0,15.1,28.9,0.0,1024.1
1816,20161221,28.6,21.9,35.1,0.0,1018.5
1817,20161222,33.3,26.1,37.9,0.0,1024.8
1822,20161227,25.9,21.9,28.0,0.0,1020.8
1823,20161228,32.5,19.0,44.1,0.0,1014.5
1827,20170101,28.0,19.0,39.0,0.0,1020.3
1830,20170104,13.1,8.1,19.9,0.0,1017.3
1833,20170107,8.4,1.0,18.0,0.0,1034.5
1834,20170108,10.6,1.9,17.1,0.0,1038.2
1839,20170113,20.1,15.1,27.0,0.0,1040.7
1840,20170114,28.0,19.9,33.1,0.0,1033.6
1841,20170115,25.2,17.1,35.1,0.0,1030.3
1849,20170123,38.7,36.0,43.0,0.0,1008.3
1859,20170202,18.1,14.0,23.0,0.0,1029.2
1860,20170203,19.8,14.0,28.0,0.0,1031.7
1861,20170204,24.3,10.0,33.1,0.0,1024.1
1862,20170205,31.5,21.9,37.0,0.0,1016.2
1865,20170208,26.4,18.0,32.0,0.0,1014.7
1867,20170210,30.9,19.0,42.1,0.0,1013.8
1868,20170211,39.2,30.9,45.0,0.0,1012.1
1869,20170212,38.5,33.1,46.9,0.0,1019.7
1870,20170213,35.8,25.0,44.1,0.0,1023.6
1871,20170214,40.6,33.1,50.0,0.0,1009.4
1872,20170215,30.6,26.1,34.0,0.0,1012.8
1873,20170216,34.0,28.9,39.9,0.0,1012.2
1874,20170217,47.1,27.0,64.9,0.0,1005.0
1875,20170218,53.2,39.9,69.1,0.0,1006.6
1876,20170219,46.0,30.9,63.0,0.0,1016.9
1877,20170220,53.8,37.9,68.0,0.0,1017.8
1883,20170226,35.4,23.0,46.9,0.0,1016.4
1884,20170227,40.3,26.1,52.0,0.0,1020.0
1888,20170303,25.7,19.0,32.0,0.0,1035.2
1891,20170306,55.8,51.1,64.0,0.0,1010.6
1892,20170307,49.6,43.0,64.0,0.311,1009.3
1893,20170308,44.6,39.0,51.1,0.0,1015.7
1895,20170310,26.6,21.0,35.1,0.0,1029.5
1896,20170311,22.1,15.1,28.9,0.0,1033.4
1900,20170315,22.6,14.0,30.0,0.0,1028.8
1901,20170316,29.7,19.0,41.0,0.0,1026.6
1905,20170320,45.9,39.9,51.1,0.02,1017.3
1906,20170321,39.4,32.0,51.1,0.0,1023.7
1907,20170322,29.7,27.0,32.0,0.0,1034.7
1917,20170401,44.6,32.0,57.0,0.0,1022.6
1920,20170404,47.5,43.0,54.0,0.043,1005.6
1923,20170407,42.4,35.1,51.1,0.0,1019.0
1924,20170408,52.7,36.0,66.0,0.0,1015.0
1928,20170412,45.9,36.0,54.0,0.0,1028.8
1933,20170417,51.4,43.0,64.9,0.0,1021.8
1934,20170418,59.7,41.0,75.0,0.0,1019.3
1937,20170421,47.7,43.0,52.0,0.0,1018.6
1938,20170422,48.7,42.1,57.0,0.0,1022.5
1939,20170423,51.6,35.1,69.1,0.0,1019.7
1940,20170424,53.8,37.9,70.0,0.0,1014.1
1941,20170425,64.8,50.0,75.0,0.0,1004.2
1944,20170428,47.5,41.0,55.0,0.0,1013.5
1949,20170503,46.6,36.0,54.0,0.0,1021.0
1950,20170504,46.8,42.1,51.1,0.0,1016.0
1953,20170507,44.6,35.1,53.1,0.0,1017.2
1954,20170508,43.3,33.1,52.0,0.031,1020.1
1959,20170513,62.8,46.0,80.1,0.0,1011.6
1960,20170514,55.4,50.0,63.0,0.0,1013.4
1961,20170515,63.5,46.9,77.0,0.0,1013.9
1962,20170516,74.5,60.1,87.1,0.059,1008.1
1963,20170517,77.4,70.0,82.9,0.0,1004.0
1968,20170522,59.5,46.9,71.1,0.0,1014.9
1971,20170525,57.9,53.1,66.0,0.0,1003.7
1972,20170526,56.7,48.9,66.0,0.531,1010.5
1975,20170529,66.9,55.0,75.0,0.0,1009.4
1977,20170531,63.7,53.1,72.0,0.0,1015.1
1978,20170601,64.0,48.0,78.1,0.0,1017.8
1979,20170602,68.7,50.0,84.0,0.0,1017.9
1980,20170603,71.1,53.1,81.0,0.0,1015.7
1981,20170604,79.0,66.0,89.1,0.0,1009.4
1982,20170605,63.7,59.0,69.1,0.0,1011.0
1983,20170606,63.1,51.1,72.0,0.0,1017.4
1984,20170607,64.4,53.1,73.9,0.0,1019.9
1987,20170610,76.8,61.0,90.0,0.0,1009.5
1988,20170611,82.4,72.0,91.9,0.0,1012.1
1989,20170612,84.2,75.0,93.9,0.0,1012.8
1990,20170613,73.2,66.9,81.0,0.0,1014.3
1995,20170618,73.2,70.0,77.0,0.0,1003.4
1998,20170621,66.6,54.0,77.0,0.0,1014.4
2001,20170624,67.1,61.0,73.0,0.0,1014.4
2004,20170627,64.4,51.1,75.9,0.0,1018.9
2008,20170701,73.8,66.0,81.0,0.0,1012.6
2009,20170702,72.3,62.1,86.0,0.0,1016.2
2010,20170703,68.2,64.0,75.0,0.102,1017.9
2011,20170704,70.5,62.1,78.1,0.0,1018.9
2012,20170705,74.7,64.0,84.0,0.0,1019.0
2013,20170706,81.0,70.0,90.0,0.0,1014.7
2015,20170708,67.5,59.0,75.0,0.0,1016.6
2020,20170713,77.0,73.9,81.0,0.043,1014.6
2022,20170715,70.9,61.0,78.1,0.0,1019.5
2024,20170717,66.4,59.0,73.0,0.0,1017.8
2025,20170718,74.8,62.1,86.0,0.0,1017.7
2031,20170724,67.8,64.9,70.0,0.0,1016.7
2033,20170726,76.5,66.9,84.0,0.0,1017.4
2035,20170728,71.4,66.9,77.0,0.0,1015.8
2036,20170729,69.6,62.1,77.0,0.0,1020.1
2037,20170730,71.2,60.1,81.0,0.0,1022.4
2038,20170731,73.8,63.0,84.9,0.0,1021.7
2039,20170801,75.4,66.0,84.9,0.0,1018.1
2043,20170805,69.1,59.0,78.1,0.0,1016.8
2046,20170808,69.4,54.0,82.9,0.0,1021.4
2047,20170809,70.5,59.0,81.0,0.0,1021.5
2049,20170811,69.6,64.9,77.0,0.0,1015.4
2050,20170812,65.7,59.0,73.9,0.0,1018.0
2051,20170813,66.9,55.9,77.0,0.0,1017.7
2052,20170814,72.1,61.0,82.0,0.0,1012.0
2053,20170815,72.1,66.0,81.0,0.0,1012.9
2057,20170819,71.8,61.0,82.0,0.0,1014.0
2061,20170823,67.1,57.9,77.0,0.0,1016.8
2062,20170824,63.9,57.9,73.9,0.0,1019.6
2063,20170825,63.1,52.0,73.0,0.0,1024.2
2068,20170830,70.7,59.0,82.0,0.0,1018.0
2070,20170901,63.1,57.0,66.9,0.0,1021.9
2072,20170903,71.1,55.9,84.0,0.0,1015.1
2078,20170909,62.2,53.1,70.0,0.0,1029.3
2079,20170910,58.8,48.0,68.0,0.0,1030.1
2080,20170911,60.6,48.9,73.0,0.0,1024.7
2081,20170912,62.8,51.1,73.9,0.0,1015.8
2084,20170915,74.3,61.0,88.0,0.0,1015.7
2085,20170916,76.6,64.0,89.1,0.0,1017.4
2087,20170918,65.3,55.0,73.0,0.0,1018.6
2089,20170920,77.5,61.0,91.9,0.0,1012.2
2090,20170921,82.0,73.0,91.9,0.0,1015.1
2091,20170922,82.6,70.0,95.0,0.0,1016.9
2093,20170924,79.0,66.9,91.0,0.0,1017.5
2094,20170925,77.5,64.9,91.0,0.0,1014.8
2096,20170927,65.8,57.9,73.0,0.0,1018.9
2097,20170928,61.9,50.0,73.9,0.0,1021.8
2099,20170930,59.7,52.0,66.0,0.0,1029.1
2100,20171001,58.8,46.0,70.0,0.0,1023.6
2101,20171002,71.1,57.9,82.9,0.0,1020.8
2102,20171003,73.2,68.0,78.1,0.0,1023.5
2104,20171005,62.6,52.0,75.0,0.102,1021.8
2108,20171009,64.4,52.0,81.0,0.0,1012.6
2115,20171016,52.5,45.0,63.0,0.0,1025.1
2117,20171018,60.8,48.0,71.1,0.0,1019.4
2118,20171019,58.8,50.0,68.0,0.0,1020.5
2119,20171020,63.1,48.9,78.1,0.0,1020.0
2120,20171021,69.3,62.1,75.9,0.0,1016.8
2124,20171025,43.9,37.9,53.1,0.0,1009.0
2125,20171026,48.4,36.0,60.1,0.0,1008.4
2128,20171029,41.0,34.0,46.9,0.0,1011.3
2129,20171030,44.4,39.9,50.0,0.0,1006.8
2130,20171031,37.6,35.1,41.0,0.0,1019.3
2133,20171103,43.7,37.9,48.0,0.0,1026.1
2136,20171106,38.5,32.0,42.1,0.0,1024.0
2137,20171107,38.3,30.9,45.0,0.0,1027.5
2138,20171108,36.1,27.0,46.9,0.0,1026.7
2139,20171109,35.8,21.9,45.0,0.0,1023.4
2141,20171111,32.0,26.1,37.9,0.0,1028.9
2143,20171113,36.3,30.9,39.9,0.0,1031.7
2149,20171119,32.9,30.0,37.9,0.0,1016.8
2150,20171120,42.8,30.9,53.1,0.0,1011.6
2152,20171122,28.8,21.0,34.0,0.0,1026.5
2153,20171123,37.2,32.0,46.0,0.0,1016.5
2154,20171124,48.9,30.9,64.0,0.0,1004.1
2155,20171125,45.1,33.1,55.9,0.0,1013.6
2156,20171126,39.4,27.0,50.0,0.0,1021.3
2159,20171129,40.6,32.0,46.0,0.0,1025.0
2160,20171130,46.8,37.0,54.0,0.0,1018.3
2161,20171201,38.3,27.0,53.1,0.0,1023.6
2162,20171202,41.9,33.1,55.0,0.0,1020.5
2163,20171203,42.8,28.0,57.9,0.0,1020.9
2166,20171206,30.7,27.0,35.1,0.0,1016.2
2170,20171210,27.1,19.9,32.0,0.0,1016.3
2172,20171212,21.0,17.1,30.9,0.0,1017.9
2176,20171216,37.9,28.0,46.0,0.0,1013.9
2177,20171217,37.9,30.0,43.0,0.0,1017.7
2179,20171219,43.2,36.0,51.1,0.0,1014.3
2180,20171220,31.1,28.0,34.0,0.0,1021.0
2181,20171221,37.0,30.9,39.9,0.0,1017.1
2182,20171222,37.2,34.0,39.0,0.0,1016.5
2183,20171223,26.6,19.0,33.1,0.0,1021.1
2186,20171226,2.1,-2.9,7.0,0.0,1036.5
2187,20171227,2.1,-2.9,8.1,0.0,1041.9
2192,20180101,-2.4,-8.0,3.9,0.0,1040.8
2193,20180102,1.4,-6.0,10.9,0.0,1033.2
2195,20180104,5.0,-0.9,12.0,0.0,1027.3
2196,20180105,4.3,-0.9,10.9,0.0,1031.6
2197,20180106,6.6,-0.9,15.1,0.0,1036.1
2199,20180108,34.5,30.9,39.0,0.0,1016.4
2200,20180109,30.9,27.0,37.0,0.0,1023.9
2204,20180113,10.8,6.1,16.0,0.0,1036.6
2208,20180117,14.7,6.1,21.9,0.0,1032.0
2209,20180118,25.3,17.1,34.0,0.0,1019.3
2210,20180119,35.2,28.9,41.0,0.0,1011.0
2212,20180121,40.5,36.0,44.1,0.0,1014.5
2216,20180125,32.9,23.0,43.0,0.0,1026.1
2217,20180126,45.1,33.1,52.0,0.0,1019.6
2218,20180127,45.3,39.0,50.0,0.0,1019.8
2221,20180130,23.5,15.1,30.9,0.0,1028.4
2222,20180131,36.9,30.9,42.1,0.0,1009.0
2223,20180201,21.0,9.0,35.1,0.0,1019.6
2224,20180202,12.9,5.0,21.0,0.0,1032.5
2234,20180212,15.3,5.0,26.1,0.0,1039.5
2235,20180213,22.6,8.1,36.0,0.0,1034.5
2244,20180222,35.8,30.0,39.9,0.0,1033.5
2247,20180225,40.1,35.1,48.0,0.154,1011.3
2248,20180226,41.5,28.0,54.0,0.0,1023.1
2249,20180227,50.7,37.0,63.0,0.0,1019.3
2250,20180228,46.9,36.0,60.1,0.0,1010.8
2252,20180302,36.5,28.9,46.0,0.0,1030.5
2253,20180303,36.1,30.9,42.1,0.0,1034.1
2254,20180304,38.1,33.1,44.1,0.0,1030.4
2258,20180308,28.6,23.0,35.1,0.0,1017.3
2259,20180309,30.2,23.0,37.9,0.0,1017.3
2260,20180310,31.3,21.9,39.9,0.0,1020.1
2262,20180312,37.8,32.0,45.0,0.0,1020.4
2264,20180314,33.8,19.0,48.0,0.0,1017.0
2265,20180315,36.3,27.0,46.0,0.0,1012.8
2266,20180316,31.8,28.9,36.0,0.0,1021.5
2267,20180317,37.2,30.9,45.0,0.0,1016.1
2268,20180318,41.2,25.0,57.9,0.0,1017.0
2269,20180319,37.6,30.9,43.0,0.0,1014.3
2271,20180321,33.1,28.0,37.9,0.0,1019.7
2272,20180322,34.7,24.1,48.0,0.0,1027.4
2273,20180323,33.8,26.1,41.0,0.0,1028.5
2274,20180324,36.1,34.0,39.0,0.0,1024.2
2275,20180325,33.6,28.0,37.9,0.0,1028.6
2280,20180330,39.2,33.1,48.0,0.0,1022.8
2282,20180401,30.4,24.1,34.0,0.0,1023.9
2283,20180402,33.3,21.0,42.1,0.0,1018.6
2287,20180406,34.3,27.0,37.9,0.024,1014.8
2288,20180407,28.4,19.9,37.9,0.0,1021.0
2291,20180410,38.1,28.0,46.0,0.0,1024.2
2293,20180412,54.0,41.0,73.0,0.102,1005.8
2301,20180420,46.0,30.9,60.1,0.0,1032.6
2302,20180421,45.0,35.1,54.0,0.0,1031.1
2303,20180422,49.5,42.1,59.0,0.0,1027.7
2304,20180423,51.1,42.1,61.0,0.0,1022.5
2305,20180424,54.0,48.0,62.1,0.0,1017.9
2306,20180425,46.0,39.0,50.0,0.0,1019.2
2307,20180426,50.7,34.0,66.0,0.0,1013.7
2310,20180429,44.2,30.9,55.9,0.0,1027.4
2311,20180430,60.3,37.0,79.0,0.0,1020.5
2312,20180501,74.1,60.1,84.9,0.0,1013.7
2315,20180504,67.3,52.0,75.0,0.0,1010.9
2316,20180505,68.4,52.0,82.0,0.0,1015.4
2318,20180507,61.0,46.9,73.0,0.0,1022.1
2319,20180508,68.7,54.0,81.0,0.0,1019.3
2327,20180516,64.4,48.0,79.0,0.0,1016.3
2328,20180517,58.6,54.0,64.0,0.0,1018.0
2334,20180523,65.1,52.0,77.0,0.0,1021.8
2336,20180525,77.5,63.0,89.1,0.0,1012.1
2339,20180528,79.3,69.1,93.0,0.0,1013.4
2340,20180529,72.0,66.0,79.0,0.0,1012.4
2342,20180531,79.5,70.0,90.0,0.0,1004.6
2343,20180601,64.8,55.0,73.0,0.0,1012.7
2344,20180602,59.2,52.0,64.9,0.071,1014.4
2346,20180604,69.6,55.9,81.0,0.0,1014.5
2349,20180607,66.7,57.9,79.0,0.0,1016.3
2356,20180614,71.4,61.0,81.0,0.0,1017.4
2357,20180615,74.8,62.1,86.0,0.0,1015.2
2359,20180617,86.5,79.0,93.9,0.0,1014.5
2362,20180620,68.4,64.0,75.0,0.0,1011.8
2366,20180624,69.8,63.0,77.0,0.0,1014.1
2367,20180625,68.7,61.0,73.9,0.0,1019.8
2370,20180628,75.6,66.0,84.0,0.0,1013.2
2371,20180629,84.2,71.1,95.0,0.0,1013.2
2372,20180630,87.8,81.0,95.0,0.0,1012.9
2374,20180702,76.5,69.1,84.0,0.0,1016.9
2378,20180706,70.9,64.0,75.0,0.0,1028.6
2379,20180707,70.0,57.9,80.1,0.0,1027.5
2380,20180708,75.4,61.0,87.1,0.0,1024.3
2381,20180709,80.1,66.0,91.0,0.0,1021.5
2382,20180710,79.9,72.0,86.0,0.0,1019.1
2383,20180711,75.6,64.9,84.9,0.0,1020.5
2384,20180712,78.6,68.0,87.1,0.0,1020.6
2385,20180713,83.5,73.0,93.9,0.0,1018.7
2387,20180715,80.1,72.0,88.0,0.0,1014.9
2388,20180716,81.3,73.9,89.1,0.0,1013.4
2389,20180717,73.9,68.0,80.1,0.0,1017.8
2390,20180718,70.9,61.0,78.1,0.0,1019.6
2395,20180723,72.5,66.0,80.1,0.0,1013.7
2397,20180725,78.4,66.0,90.0,0.0,1015.4
2398,20180726,76.3,69.1,81.0,0.0,1013.0
2399,20180727,70.7,63.0,77.0,0.0,1016.8
2400,20180728,70.9,61.0,81.0,0.0,1019.5
2401,20180729,71.8,60.1,81.0,0.0,1019.2
2402,20180730,72.9,62.1,81.0,0.0,1018.4
2405,20180802,77.0,72.0,84.9,0.071,1014.1
2406,20180803,74.7,66.0,82.9,0.0,1017.1
2407,20180804,84.0,69.1,98.1,0.0,1016.7
2411,20180808,75.4,68.0,84.0,0.0,1013.4
2413,20180810,75.9,70.0,81.0,0.0,1014.2
2414,20180811,77.0,66.0,88.0,0.0,1015.9
2415,20180812,77.9,68.0,88.0,0.0,1019.3
2416,20180813,76.8,66.0,89.1,0.0,1018.4
2417,20180814,79.2,69.1,89.1,0.0,1015.0
2419,20180816,77.5,71.1,84.9,0.0,1013.6
